formula,avg_Atomic_Radius,avg_Pauling_Electronegativity,avg_number_of_valence_electrons,avg_Cohesive_energy_ev_atom,avg_Bulk_modulus_RT_Gpa,avg_Elastic_modulus_RT_Gpa,avg_Shear_modulus_RT_Gpa,avg_Melting_point_(K),avg_rate_shear_mod_Mpa_perK,avg_Solid_Solubility_atpct,avg_lattice_constant_A,avg_BEC_percm3,avg_Av.Valence_bond_strength_ev,avg_EngelZ_e/a,range_Atomic_Radius,range_Pauling_Electronegativity,range_number_of_valence_electrons,range_Cohesive_energy_ev_atom,range_Bulk_modulus_RT_Gpa,range_Elastic_modulus_RT_Gpa,range_Shear_modulus_RT_Gpa,range_Melting_point_(K),range_rate_shear_mod_Mpa_perK,range_Solid_Solubility_atpct,range_lattice_constant_A,range_BEC_percm3,range_Av.Valence_bond_strength_ev,range_EngelZ_e/a,var_Atomic_Radius,var_Pauling_Electronegativity,var_number_of_valence_electrons,var_Cohesive_energy_ev_atom,var_Bulk_modulus_RT_Gpa,var_Elastic_modulus_RT_Gpa,var_Shear_modulus_RT_Gpa,var_Melting_point_(K),var_rate_shear_mod_Mpa_perK,var_Solid_Solubility_atpct,var_lattice_constant_A,var_BEC_percm3,var_Av.Valence_bond_strength_ev,var_EngelZ_e/a,Temp,hardness,concat_text
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,1.523281679580105,1.8141214696325916,7.16670832291927,4.358035491127218,160.99025243689076,206.48412896775804,70.83829042739315,1785.6758685328668,-21.234342281609095,19.749637590602347,3.1400324918770304,4.5316395901024746e-21,2.3958137965508626,5.499825043739065,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,635.0,"
    Formula: Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667
    avg_Atomic_Radius: 1.523281679580105
    avg_Pauling_Electronegativity: 1.8141214696325916
    avg_number_of_valence_electrons: 7.16670832291927
    avg_Cohesive_energy_ev_atom: 4.358035491127218
    avg_Bulk_modulus_RT_Gpa: 160.99025243689076
    avg_Elastic_modulus_RT_Gpa: 206.48412896775804
    avg_Melting_point_(K): 1785.6758685328668
    avg_lattice_constant_A: 3.1400324918770304
    avg_BEC_percm3: 4.5316395901024746e-21
    avg_Av.Valence_bond_strength_ev: 2.3958137965508626
    avg_EngelZ_e/a: 5.499825043739065
    Temperature: 25.0
    "
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,1.526153846153846,1.8153846153846156,7.230769230769231,4.352307692307693,161.69230769230768,206.84615384615387,71.69230769230771,1787.5346153846153,-21.393909036615387,18.938461538461542,3.1192307692307697,4.601538461538463e-21,2.354076923076923,5.569230769230769,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,639.0,"
    Formula: Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5
    avg_Atomic_Radius: 1.526153846153846
    avg_Pauling_Electronegativity: 1.8153846153846156
    avg_number_of_valence_electrons: 7.230769230769231
    avg_Cohesive_energy_ev_atom: 4.352307692307693
    avg_Bulk_modulus_RT_Gpa: 161.69230769230768
    avg_Elastic_modulus_RT_Gpa: 206.84615384615387
    avg_Melting_point_(K): 1787.5346153846153
    avg_lattice_constant_A: 3.1192307692307697
    avg_BEC_percm3: 4.601538461538463e-21
    avg_Av.Valence_bond_strength_ev: 2.354076923076923
    avg_EngelZ_e/a: 5.569230769230769
    Temperature: 25.0
    "
Al1 Co1 Cr1 Fe1 Mo0.5,1.5266666666666666,1.791111111111111,6.444444444444445,4.348888888888888,155.77777777777777,207.44444444444443,68.44444444444446,1796.5944444444444,-20.585583097333334,24.22222222222222,3.085555555555555,4.357777777777778e-21,2.4725555555555556,5.4222222222222225,0.72,0.55,6.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,94.7,1.54,3.63e-21,2.58,3.4000000000000004,0.054303999999999984,0.03773600000000001,4.24,1.3577840000000003,2480.96,7612.639999999999,1285.04,398761.76000000007,66.87245829343705,1212.7720000000002,0.27081599999999995,1.8937440000000003e-42,0.82249304,1.5616,25.0,857.0,"
    Formula: Al1 Co1 Cr1 Fe1 Mo0.5
    avg_Atomic_Radius: 1.5266666666666666
    avg_Pauling_Electronegativity: 1.791111111111111
    avg_number_of_valence_electrons: 6.444444444444445
    avg_Cohesive_energy_ev_atom: 4.348888888888888
    avg_Bulk_modulus_RT_Gpa: 155.77777777777777
    avg_Elastic_modulus_RT_Gpa: 207.44444444444443
    avg_Melting_point_(K): 1796.5944444444444
    avg_lattice_constant_A: 3.085555555555555
    avg_BEC_percm3: 4.357777777777778e-21
    avg_Av.Valence_bond_strength_ev: 2.4725555555555556
    avg_EngelZ_e/a: 5.4222222222222225
    Temperature: 25.0
    "
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,1.52,1.8127272727272725,7.09090909090909,4.365454545454546,160.1818181818182,206.0909090909091,69.81818181818183,1783.7863636363636,-21.04135888690909,20.72727272727273,3.1645454545454546,4.4490909090909095e-21,2.4455454545454547,5.418181818181818,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,730.0,"
    Formula: Al1 Co1 Cr1 Fe1 Mo0.5 Ni1
    avg_Atomic_Radius: 1.52
    avg_Pauling_Electronegativity: 1.8127272727272725
    avg_number_of_valence_electrons: 7.09090909090909
    avg_Cohesive_energy_ev_atom: 4.365454545454546
    avg_Bulk_modulus_RT_Gpa: 160.1818181818182
    avg_Elastic_modulus_RT_Gpa: 206.0909090909091
    avg_Melting_point_(K): 1783.7863636363636
    avg_lattice_constant_A: 3.1645454545454546
    avg_BEC_percm3: 4.4490909090909095e-21
    avg_Av.Valence_bond_strength_ev: 2.4455454545454547
    avg_EngelZ_e/a: 5.418181818181818
    Temperature: 25.0
    "
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,1.5230000000000001,1.8030000000000002,6.800000000000001,4.3580000000000005,158.2,206.70000000000002,69.2,1789.5500000000002,-20.836259781600003,22.3,3.1289999999999996,4.408000000000001e-21,2.4577000000000004,5.420000000000001,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,708.0,"
    Formula: Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5
    avg_Atomic_Radius: 1.5230000000000001
    avg_Pauling_Electronegativity: 1.8030000000000002
    avg_number_of_valence_electrons: 6.800000000000001
    avg_Cohesive_energy_ev_atom: 4.3580000000000005
    avg_Bulk_modulus_RT_Gpa: 158.2
    avg_Elastic_modulus_RT_Gpa: 206.70000000000002
    avg_Melting_point_(K): 1789.5500000000002
    avg_lattice_constant_A: 3.1289999999999996
    avg_BEC_percm3: 4.408000000000001e-21
    avg_Av.Valence_bond_strength_ev: 2.4577000000000004
    avg_EngelZ_e/a: 5.420000000000001
    Temperature: 25.0
    "
Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1,1.5174556360909772,1.8207798050487376,7.333166708322919,4.371352161959511,161.82254436390903,205.56860784803797,70.3389152711822,1778.8510747313173,-21.21431859294126,19.408397900524864,3.194131467133216,4.483366658335416e-21,2.435181204698825,5.416595851037241,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,586.0,"
    Formula: Al0.667 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni1
    avg_Atomic_Radius: 1.5174556360909772
    avg_Pauling_Electronegativity: 1.8207798050487376
    avg_number_of_valence_electrons: 7.333166708322919
    avg_Cohesive_energy_ev_atom: 4.371352161959511
    avg_Bulk_modulus_RT_Gpa: 161.82254436390903
    avg_Elastic_modulus_RT_Gpa: 205.56860784803797
    avg_Melting_point_(K): 1778.8510747313173
    avg_lattice_constant_A: 3.194131467133216
    avg_BEC_percm3: 4.483366658335416e-21
    avg_Av.Valence_bond_strength_ev: 2.435181204698825
    avg_EngelZ_e/a: 5.416595851037241
    Temperature: 25.0
    "
Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1,1.5153846153846153,1.8276923076923077,7.538461538461538,4.376923076923077,163.23076923076923,205.15384615384616,70.76923076923077,1774.919230769231,-21.356895972000004,18.30769230769231,3.2192307692307693,4.512307692307693e-21,2.426846153846154,5.415384615384616,0.72,0.55,7.0,3.43,154.0,259.0,95.0,1957.0,23.042646454,95.0,1.54,3.63e-21,2.58,3.4000000000000004,0.04601388888888888,0.032380555555555565,5.333333333333333,1.1348666666666667,2106.6666666666665,6397.222222222223,1092.222222222222,336791.4722222223,58.25648105340215,1110.398888888889,0.2511222222222222,1.6207472222222223e-42,0.7018846666666666,1.3022222222222224,25.0,395.0,"
    Formula: Al0.5 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni1
    avg_Atomic_Radius: 1.5153846153846153
    avg_Pauling_Electronegativity: 1.8276923076923077
    avg_number_of_valence_electrons: 7.538461538461538
    avg_Cohesive_energy_ev_atom: 4.376923076923077
    avg_Bulk_modulus_RT_Gpa: 163.23076923076923
    avg_Elastic_modulus_RT_Gpa: 205.15384615384616
    avg_Melting_point_(K): 1774.919230769231
    avg_lattice_constant_A: 3.2192307692307693
    avg_BEC_percm3: 4.512307692307693e-21
    avg_Av.Valence_bond_strength_ev: 2.426846153846154
    avg_EngelZ_e/a: 5.415384615384616
    Temperature: 25.0
    "
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,1.5072727272727273,1.7563636363636363,6.909090909090908,4.1863636363636365,149.27272727272728,186.72727272727272,72.0,1696.7863636363636,-21.80679232909091,20.727272727272727,3.1463636363636365,4.303636363636364e-21,2.3090909090909086,5.236363636363636,0.5800000000000001,0.3699999999999999,7.0,1.4599999999999995,104.0,209.0,89.0,1197.0,14.622878590000001,95.0,1.54,3.63e-21,1.0790000000000002,3.4000000000000004,0.03248055555555556,0.019980555555555543,6.555555555555556,0.19638055555555547,1546.6666666666667,4699.13888888889,806.888888888889,140473.5555555556,21.630502515735937,1110.398888888889,0.25756666666666667,2.274080555555556e-42,0.1041948055555556,1.5022222222222226,25.0,178.0,"
    Formula: Al1 Co1 Cr1 Fe1 Ni1 Ti0.5
    avg_Atomic_Radius: 1.5072727272727273
    avg_Pauling_Electronegativity: 1.7563636363636363
    avg_number_of_valence_electrons: 6.909090909090908
    avg_Cohesive_energy_ev_atom: 4.1863636363636365
    avg_Bulk_modulus_RT_Gpa: 149.27272727272728
    avg_Elastic_modulus_RT_Gpa: 186.72727272727272
    avg_Melting_point_(K): 1696.7863636363636
    avg_lattice_constant_A: 3.1463636363636365
    avg_BEC_percm3: 4.303636363636364e-21
    avg_Av.Valence_bond_strength_ev: 2.3090909090909086
    avg_EngelZ_e/a: 5.236363636363636
    Temperature: 25.0
    "
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,1.6175,1.6737499999999998,6.125,4.626250000000001,140.875,160.125,62.25,1823.3999999999999,-17.9421804065,45.5,3.1287499999999997,3.7650000000000006e-21,2.49725,4.975,0.8800000000000001,0.5799999999999998,7.0,2.86,104.0,211.0,89.0,1230.0,18.529341508,95.0,1.54,3.720000000000001e-21,1.173,3.4000000000000004,0.05586875000000001,0.033123437499999984,5.859375,0.6462234375,1536.359375,5035.859375,782.4375,139738.93750000003,43.704666305641176,1822.8825000000002,0.19593593750000005,2.3321500000000007e-42,0.13742618750000005,1.264375,25.0,780.0,"
    Formula: Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.6175
    avg_Pauling_Electronegativity: 1.6737499999999998
    avg_number_of_valence_electrons: 6.125
    avg_Cohesive_energy_ev_atom: 4.626250000000001
    avg_Bulk_modulus_RT_Gpa: 140.875
    avg_Elastic_modulus_RT_Gpa: 160.125
    avg_Melting_point_(K): 1823.3999999999999
    avg_lattice_constant_A: 3.1287499999999997
    avg_BEC_percm3: 3.7650000000000006e-21
    avg_Av.Valence_bond_strength_ev: 2.49725
    avg_EngelZ_e/a: 4.975
    Temperature: 25.0
    "
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,1.6114285714285712,1.6757142857142857,6.1428571428571415,4.701428571428571,138.14285714285714,143.14285714285714,54.71428571428571,1779.5785714285714,-16.788137745999997,48.42857142857142,3.1642857142857137,3.582857142857143e-21,2.517714285714286,4.828571428571428,0.8800000000000001,0.5799999999999998,7.0,2.86,104.0,143.0,56.0,1230.0,15.841797338000003,95.0,1.54,3.720000000000001e-21,1.173,3.4000000000000004,0.06355510204081634,0.03782448979591835,6.693877551020408,0.6933265306122447,1696.122448979592,3448.1224489795923,439.9183673469388,144339.1020408164,39.29367436555857,2014.6820408163264,0.2138244897959183,2.3999061224489803e-42,0.1537082040816327,1.2734693877551024,25.0,790.0,"
    Formula: Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.6114285714285712
    avg_Pauling_Electronegativity: 1.6757142857142857
    avg_number_of_valence_electrons: 6.1428571428571415
    avg_Cohesive_energy_ev_atom: 4.701428571428571
    avg_Bulk_modulus_RT_Gpa: 138.14285714285714
    avg_Elastic_modulus_RT_Gpa: 143.14285714285714
    avg_Melting_point_(K): 1779.5785714285714
    avg_lattice_constant_A: 3.1642857142857137
    avg_BEC_percm3: 3.582857142857143e-21
    avg_Av.Valence_bond_strength_ev: 2.517714285714286
    avg_EngelZ_e/a: 4.828571428571428
    Temperature: 25.0
    "
Al1 Fe1 Ni1 Ti1 V1 Zr1,1.6266666666666665,1.6416666666666666,5.666666666666667,4.753333333333333,131.16666666666666,132.16666666666666,51.333333333333336,1781.4833333333331,-15.915167910333333,55.61666666666666,3.2733333333333334,3.2800000000000003e-21,2.5686666666666667,4.633333333333334,0.8800000000000001,0.5799999999999998,7.0,2.86,104.0,143.0,56.0,1230.0,15.841797338000003,95.0,1.1799999999999997,3.720000000000001e-21,1.173,3.4000000000000004,0.07252222222222224,0.03601388888888887,6.222222222222221,0.7900222222222221,1638.1388888888887,3179.4722222222226,433.22222222222223,168370.22222222225,40.50808575526445,1988.7813888888888,0.16622222222222213,2.1578333333333335e-42,0.16115322222222225,1.2188888888888891,25.0,800.0,"
    Formula: Al1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.6266666666666665
    avg_Pauling_Electronegativity: 1.6416666666666666
    avg_number_of_valence_electrons: 5.666666666666667
    avg_Cohesive_energy_ev_atom: 4.753333333333333
    avg_Bulk_modulus_RT_Gpa: 131.16666666666666
    avg_Elastic_modulus_RT_Gpa: 132.16666666666666
    avg_Melting_point_(K): 1781.4833333333331
    avg_lattice_constant_A: 3.2733333333333334
    avg_BEC_percm3: 3.2800000000000003e-21
    avg_Av.Valence_bond_strength_ev: 2.5686666666666667
    avg_EngelZ_e/a: 4.633333333333334
    Temperature: 25.0
    "
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,1.6512499999999999,1.7099999999999997,7.125,4.63875,148.875,167.625,65.0,1876.2749999999999,-18.05204306025,43.75,3.07375,3.9800000000000006e-21,2.472875,5.1125,0.6100000000000001,0.5799999999999998,7.0,2.76,89.0,211.0,82.0,807.0,18.529341508,95.0,1.1,3.720000000000001e-21,1.173,2.4000000000000004,0.034310937500000006,0.037699999999999984,6.609375,0.6164109375,946.359375,4077.734375,636.0,65165.35937499999,44.19007815555282,1934.97,0.1157734375,1.8150750000000004e-42,0.14174360937500002,0.8535937500000003,25.0,680.0,"
    Formula: Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.6512499999999999
    avg_Pauling_Electronegativity: 1.7099999999999997
    avg_number_of_valence_electrons: 7.125
    avg_Cohesive_energy_ev_atom: 4.63875
    avg_Bulk_modulus_RT_Gpa: 148.875
    avg_Elastic_modulus_RT_Gpa: 167.625
    avg_Melting_point_(K): 1876.2749999999999
    avg_lattice_constant_A: 3.07375
    avg_BEC_percm3: 3.9800000000000006e-21
    avg_Av.Valence_bond_strength_ev: 2.472875
    avg_EngelZ_e/a: 5.1125
    Temperature: 25.0
    "
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,1.7075000000000002,1.7425,6.5,5.055000000000001,160.125,192.5,61.5,2068.025,-15.843554853499999,55.55,3.01625,4.01875e-21,2.7393750000000003,5.35,0.5700000000000001,0.8300000000000001,6.0,2.7200000000000006,139.0,261.0,95.0,1164.0,23.042646454,95.0,1.0100000000000002,3.720000000000001e-21,2.58,2.4000000000000004,0.033818749999999995,0.05744375000000001,4.5,0.8729250000000002,1632.609375,6537.25,840.75,123073.859375,66.875728882435,2009.3099999999997,0.07724843750000002,1.7907109375000003e-42,0.5462239843750001,0.7675000000000001,25.0,850.0,"
    Formula: Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.7075000000000002
    avg_Pauling_Electronegativity: 1.7425
    avg_number_of_valence_electrons: 6.5
    avg_Cohesive_energy_ev_atom: 5.055000000000001
    avg_Bulk_modulus_RT_Gpa: 160.125
    avg_Elastic_modulus_RT_Gpa: 192.5
    avg_Melting_point_(K): 2068.025
    avg_lattice_constant_A: 3.01625
    avg_BEC_percm3: 4.01875e-21
    avg_Av.Valence_bond_strength_ev: 2.7393750000000003
    avg_EngelZ_e/a: 5.35
    Temperature: 25.0
    "
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,1.65,1.717142857142857,7.285714285714285,4.715714285714285,147.28571428571428,151.71428571428572,57.857142857142854,1840.007142857143,-16.913695064571424,46.42857142857142,3.101428571428571,3.8285714285714284e-21,2.4898571428571428,4.985714285714285,0.6100000000000001,0.5799999999999998,7.0,2.76,89.0,143.0,49.0,807.0,15.841797338000003,95.0,1.1,3.720000000000001e-21,1.173,2.4000000000000004,0.039200000000000006,0.04267755102040814,7.346938775510203,0.6570816326530611,1061.3469387755101,2635.061224489796,318.6938775510204,63951.83673469388,40.136257189365566,2153.996326530612,0.12618367346938777,1.890926530612245e-42,0.1596855510204082,0.8469387755102042,25.0,630.0,"
    Formula: Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.65
    avg_Pauling_Electronegativity: 1.717142857142857
    avg_number_of_valence_electrons: 7.285714285714285
    avg_Cohesive_energy_ev_atom: 4.715714285714285
    avg_Bulk_modulus_RT_Gpa: 147.28571428571428
    avg_Elastic_modulus_RT_Gpa: 151.71428571428572
    avg_Melting_point_(K): 1840.007142857143
    avg_lattice_constant_A: 3.101428571428571
    avg_BEC_percm3: 3.8285714285714284e-21
    avg_Av.Valence_bond_strength_ev: 2.4898571428571428
    avg_EngelZ_e/a: 4.985714285714285
    Temperature: 25.0
    "
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,1.7142857142857142,1.7542857142857142,6.57142857142857,5.19142857142857,160.14285714285714,180.1428571428571,53.857142857142854,2059.1499999999996,-14.389708542571427,59.91428571428571,3.035714285714285,3.872857142857143e-21,2.7944285714285715,5.257142857142857,0.5700000000000001,0.8300000000000001,6.0,2.54,139.0,261.0,62.0,1164.0,20.355102284,95.0,1.0100000000000002,3.720000000000001e-21,2.58,2.4000000000000004,0.03828163265306122,0.06453877551020408,5.1020408163265305,0.8487265306122449,1865.8367346938778,6249.551020408163,493.55102040816325,140025.7142857143,59.52005167066365,2143.9783673469387,0.08525306122448982,1.8762489795918368e-42,0.6000088163265306,0.8081632653061226,25.0,790.0,"
    Formula: Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.7142857142857142
    avg_Pauling_Electronegativity: 1.7542857142857142
    avg_number_of_valence_electrons: 6.57142857142857
    avg_Cohesive_energy_ev_atom: 5.19142857142857
    avg_Bulk_modulus_RT_Gpa: 160.14285714285714
    avg_Elastic_modulus_RT_Gpa: 180.1428571428571
    avg_Melting_point_(K): 2059.1499999999996
    avg_lattice_constant_A: 3.035714285714285
    avg_BEC_percm3: 3.872857142857143e-21
    avg_Av.Valence_bond_strength_ev: 2.7944285714285715
    avg_EngelZ_e/a: 5.257142857142857
    Temperature: 25.0
    "
Cu1 Fe1 Ni1 Ti1 V1 Zr1,1.6716666666666666,1.69,7.0,4.77,141.83333333333331,142.16666666666666,55.0,1851.9833333333331,-16.061651448666666,53.283333333333324,3.2,3.566666666666667e-21,2.5361666666666665,4.816666666666666,0.6100000000000001,0.5799999999999998,7.0,2.76,89.0,143.0,49.0,807.0,15.841797338000003,95.0,0.7399999999999998,3.720000000000001e-21,1.173,2.4000000000000004,0.042447222222222226,0.044633333333333323,8.0,0.7459666666666664,1030.138888888889,2436.1388888888887,314.6666666666667,73606.47222222223,41.743785123764724,2184.0813888888883,0.07919999999999995,1.7259222222222226e-42,0.17128780555555564,0.7880555555555558,25.0,590.0,"
    Formula: Cu1 Fe1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.6716666666666666
    avg_Pauling_Electronegativity: 1.69
    avg_number_of_valence_electrons: 7.0
    avg_Cohesive_energy_ev_atom: 4.77
    avg_Bulk_modulus_RT_Gpa: 141.83333333333331
    avg_Elastic_modulus_RT_Gpa: 142.16666666666666
    avg_Melting_point_(K): 1851.9833333333331
    avg_lattice_constant_A: 3.2
    avg_BEC_percm3: 3.566666666666667e-21
    avg_Av.Valence_bond_strength_ev: 2.5361666666666665
    avg_EngelZ_e/a: 4.816666666666666
    Temperature: 25.0
    "
Fe1 Mo1 Ni1 Ti1 V1 Zr1,1.7466666666666664,1.7333333333333334,6.166666666666666,5.324999999999999,156.83333333333331,175.33333333333334,50.333333333333336,2107.6499999999996,-13.117000506333333,69.01666666666665,3.123333333333333,3.618333333333334e-21,2.8914999999999997,5.133333333333333,0.5700000000000001,0.8300000000000001,6.0,2.54,139.0,261.0,62.0,1164.0,20.355102284,95.0,0.6499999999999999,3.720000000000001e-21,2.58,2.4000000000000004,0.03732222222222222,0.07222222222222222,4.805555555555555,0.8652916666666668,2100.138888888889,7129.222222222223,488.88888888888886,146897.58333333334,58.10156006390571,1921.3347222222221,0.04572222222222221,1.7354805555555555e-42,0.63405025,0.8355555555555557,25.0,740.0,"
    Formula: Fe1 Mo1 Ni1 Ti1 V1 Zr1
    avg_Atomic_Radius: 1.7466666666666664
    avg_Pauling_Electronegativity: 1.7333333333333334
    avg_number_of_valence_electrons: 6.166666666666666
    avg_Cohesive_energy_ev_atom: 5.324999999999999
    avg_Bulk_modulus_RT_Gpa: 156.83333333333331
    avg_Elastic_modulus_RT_Gpa: 175.33333333333334
    avg_Melting_point_(K): 2107.6499999999996
    avg_lattice_constant_A: 3.123333333333333
    avg_BEC_percm3: 3.618333333333334e-21
    avg_Av.Valence_bond_strength_ev: 2.8914999999999997
    avg_EngelZ_e/a: 5.133333333333333
    Temperature: 25.0
    "
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,1.5603921568627452,1.7629411764705882,7.901960784313727,4.013529411764707,160.31372549019608,216.47058823529412,68.20093363101279,1773.15,-21.28872344,20.72727272727273,4.132352941176471,5.192352941176471e-21,2.036745098039216,6.0588235294117645,0.48,0.3599999999999999,7.0,1.5200000000000005,104.0,209.0,89.0,1197.0,8.737094040000002,20.0,6.380000000000001,3.75e-21,1.0970000000000002,3.8,0.024022222222222226,0.019333333333333317,5.138888888888889,0.3223666666666667,1440.5555555555557,3860.9166666666665,774.888888888889,134464.66666666672,11.484732370025231,65.21225,4.801666666666668,1.7115250000000002e-42,0.13975188888888893,1.5333333333333332,25.0,180.0,"
    Formula: Al0.1 Co1 Cr1 Fe1 Mn1 Ni1
    avg_Atomic_Radius: 1.5603921568627452
    avg_Pauling_Electronegativity: 1.7629411764705882
    avg_number_of_valence_electrons: 7.901960784313727
    avg_Cohesive_energy_ev_atom: 4.013529411764707
    avg_Bulk_modulus_RT_Gpa: 160.31372549019608
    avg_Elastic_modulus_RT_Gpa: 216.47058823529412
    avg_Melting_point_(K): 1773.15
    avg_lattice_constant_A: 4.132352941176471
    avg_BEC_percm3: 5.192352941176471e-21
    avg_Av.Valence_bond_strength_ev: 2.036745098039216
    avg_EngelZ_e/a: 6.0588235294117645
    Temperature: 25.0
    "
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,1.5530769230769228,1.76,7.807692307692307,4.001538461538461,158.69230769230765,213.6538461538461,68.20093363101279,1756.9961538461537,-21.28872344,20.72727272727273,4.13076923076923,5.127307692307692e-21,2.0455384615384613,6.0,0.48,0.3599999999999999,7.0,1.5200000000000005,104.0,209.0,89.0,1197.0,8.737094040000002,20.0,6.380000000000001,3.75e-21,1.0970000000000002,3.8,0.024022222222222226,0.019333333333333317,5.138888888888889,0.3223666666666667,1440.5555555555557,3860.9166666666665,774.888888888889,134464.66666666672,11.484732370025231,65.21225,4.801666666666668,1.7115250000000002e-42,0.13975188888888893,1.5333333333333332,25.0,171.0,"
    Formula: Al0.2 Co1 Cr1 Fe1 Mn1 Ni1
    avg_Atomic_Radius: 1.5530769230769228
    avg_Pauling_Electronegativity: 1.76
    avg_number_of_valence_electrons: 7.807692307692307
    avg_Cohesive_energy_ev_atom: 4.001538461538461
    avg_Bulk_modulus_RT_Gpa: 158.69230769230765
    avg_Elastic_modulus_RT_Gpa: 213.6538461538461
    avg_Melting_point_(K): 1756.9961538461537
    avg_lattice_constant_A: 4.13076923076923
    avg_BEC_percm3: 5.127307692307692e-21
    avg_Av.Valence_bond_strength_ev: 2.0455384615384613
    avg_EngelZ_e/a: 6.0
    Temperature: 25.0
    "
